Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material	DOI	Reference
1	64.216	23.588	1802.0	1.37	108.84	3	8	0	0
2	17.75	36.26	3658.0	0.0	19.97	3	8	1	1
3	17.75	36.26	3658.0	0.0	19.97	3	8	1	1
4	17.75	36.26	3658.0	0.0	19.97	3	8	1	1
5	-14.70167	55.485	2168.0	111.08	135.11	3	1	2	2
6	-14.70167	55.485	2168.0	110.34	135.11	3	1	2	2
7	-119.981	32.833867	1165.8	0.0	187.24	3	8	3	3
8	-119.981	32.833867	1165.8	0.98	187.24	3	1	3	3
9	13.40025	-11.92077	426.0	0.0	22.0	3	1	4	4
10	13.40025	-11.92077	426.0	0.02	21.98	3	1	4	4
11	15.31088	-31.46466	1371.6	0.0	500.0	3	8	5	5
12	15.31088	-31.46466	1371.6	0.0	500.0	3	8	5	5
13	15.31088	-31.46466	1371.6	0.0	500.0	3	8	5	5
14	15.31088	-31.46466	1371.6	0.0	500.0	3	1	5	5
15	-64.208	-64.86193	1010.6	9.1	9.34	3	8	6	6
16	113.28517	9.36193	2770.0	17.44	4990.83	3	1	7	7
17	113.28517	9.36193	2770.0	17.44	4990.83	3	1	7	7
18	113.28517	9.36193	2770.0	0.0	5020.61	3	1	7	7
19	113.28517	9.36193	2770.0	0.0	5020.61	3	1	7	7
20	113.28517	9.36193	2770.0	3.6	5018.62	3	8	7	7
21	113.28517	9.36193	2770.0	3.6	4512.17	3	8	7	7
22	117.41905	20.053	2037.0	0.09	1974.7	3	8	8	8
23	117.41905	20.053	2037.0	0.09	1975.6	3	8	9	9
24	-106.474	22.68333	420.0	1.13	112.0	3	1	10	10
25	-106.5178	23.51778	2025.0	3.35	139.0	3	1	10	10
26	-107.0717	22.38639	1018.0	1.64	50.2	3	1	10	10
27	-75.90135	-39.89	4072.0	12.47	141.24	3	8	11	11
28	57.347	14.321	3212.0	0.61	24.57	3	8	12	12
29	159.361	0.3185	2520.0	3.424	753.115	3	8	13	13
30	159.361	0.3185	2520.0	3.424	753.115	3	8	13	13
31	159.361	0.3185	2520.0	3.424	753.115	3	1	13	13
32	-160.0	4.0	1.0	-0.028792	0.000458	3	4	14	14
33	-38.0	-31.0	2925.0	4.235	301.8	3	1	15	15
34	-76.0	80.25	2200.0	-0.023	0.15	1	5	16	16
35	-76.0	80.25	2200.0	-0.011	0.15	1	5	16	16
36	98.51	-0.13333	6.0	-0.04796	0.09171	3	4	17	17
37	11.768667	41.752	662.0	4.8	21.6	3	1	18	18
38	-76.0	80.25	2200.0	0.1	11.7	1	5	19	19
39	-76.0	80.25	2200.0	0.1	11.7	1	5	19	19
40	-76.0	80.25	2200.0	0.1	11.7	1	5	19	19
41	-76.0	80.25	2200.0	0.1	11.7	1	5	19	19
42	-119.856667	32.8	1171.0	3.036	32.728	3	8	20	20
43	-118.416667	31.468333	2451.0	1.379	24.988	3	8	20	20
44	-118.116667	31.866667	1915.0	1.687	34.889	3	8	20	20
45	-118.116667	31.866667	1915.0	3.43	48.59	3	1	21	21
46	-118.116667	31.866667	1915.0	3.43	29.1	3	8	21	20
47	-119.06	33.011667	1756.0	3.852	29.076	3	8	20	22
48	92.06	31.62	4575.0	4.183	9.494	2	2	22	23
49	92.06	31.62	4575.0	4.021	9.12	2	2	22	23
50	92.06	31.62	4575.0	3.887	8.231	2	2	22	23
51	89.528	32.098	4724.0	-0.056	-0.056	2	6	23	24
52	89.528	32.098	4724.0	-0.056	-0.056	2	6	23	24
53	89.528	32.098	4724.0	-0.056	-0.056	2	6	23	24
54	89.528	32.098	4724.0	-0.056	-0.056	2	6	23	24
55	89.528	32.098	4724.0	-0.056	-0.056	2	6	23	24
56	91.857	32.572	5133.0	-0.056	-0.056	2	6	23	24
