Id	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	Material
16	113.28517	9.36193	2770.0	17.44	4990.83	3	1
17	113.28517	9.36193	2770.0	17.44	4990.83	3	1
18	113.28517	9.36193	2770.0	0.0	5020.61	3	1
19	113.28517	9.36193	2770.0	0.0	5020.61	3	1
20	113.28517	9.36193	2770.0	3.6	5018.62	3	8
21	113.28517	9.36193	2770.0	3.6	4512.17	3	8
22	117.41905	20.053	2037.0	0.09	1974.7	3	8
23	117.41905	20.053	2037.0	0.09	1975.6	3	8
24	-106.474	22.68333	420.0	1.13	112.0	3	1
25	-106.5178	23.51778	2025.0	3.35	139.0	3	1
26	-107.0717	22.38639	1018.0	1.64	50.2	3	1
27	-75.90135	-39.89	4072.0	12.47	141.24	3	8
28	57.347	14.321	3212.0	0.61	24.57	3	8
29	159.361	0.3185	2520.0	3.424	753.115	3	8
30	159.361	0.3185	2520.0	3.424	753.115	3	8
31	159.361	0.3185	2520.0	3.424	753.115	3	1
32	-160.0	4.0	1.0	-0.028792	0.000458	3	4
33	-38.0	-31.0	2925.0	4.235	301.8	3	1
34	-76.0	80.25	2200.0	-0.023	0.15	1	5
35	-76.0	80.25	2200.0	-0.011	0.15	1	5
36	98.51	-0.13333	6.0	-0.04796	0.09171	3	4
37	11.768667	41.752	662.0	4.8	21.6	3	1
38	-76.0	80.25	2200.0	0.1	11.7	1	5
39	-76.0	80.25	2200.0	0.1	11.7	1	5
40	-76.0	80.25	2200.0	0.1	11.7	1	5
41	-76.0	80.25	2200.0	0.1	11.7	1	5
42	-119.856667	32.8	1171.0	3.036	32.728	3	8
43	-118.416667	31.468333	2451.0	1.379	24.988	3	8
44	-118.116667	31.866667	1915.0	1.687	34.889	3	8
45	-118.116667	31.866667	1915.0	3.43	48.59	3	1
46	-118.116667	31.866667	1915.0	3.43	29.1	3	8
47	-119.06	33.011667	1756.0	3.852	29.076	3	8
48	92.06	31.62	4575.0	4.183	9.494	2	2
49	92.06	31.62	4575.0	4.021	9.12	2	2
50	92.06	31.62	4575.0	3.887	8.231	2	2
51	89.528	32.098	4724.0	-0.056	-0.056	2	6
52	89.528	32.098	4724.0	-0.056	-0.056	2	6
53	89.528	32.098	4724.0	-0.056	-0.056	2	6
54	89.528	32.098	4724.0	-0.056	-0.056	2	6
55	89.528	32.098	4724.0	-0.056	-0.056	2	6
56	91.857	32.572	5133.0	-0.056	-0.056	2	6
57	91.857	32.572	5133.0	-0.056	-0.056	2	6
58	95.977	34.158	4701.0	-0.056	-0.056	2	6
59	95.977	34.158	4701.0	-0.056	-0.056	2	6
60	95.977	34.158	4701.0	-0.056	-0.056	2	6
61	95.977	34.158	4701.0	-0.056	-0.056	2	6
62	95.977	34.158	4701.0	-0.056	-0.056	2	6
63	98.65	35.227	4095.0	-0.056	-0.056	2	6
64	98.65	35.227	4095.0	-0.056	-0.056	2	6
65	98.65	35.227	4095.0	-0.056	-0.056	2	6
66	98.65	35.227	4095.0	-0.056	-0.056	2	6
67	98.65	35.227	4095.0	-0.056	-0.056	2	6
68	31.17	1.835	615.0	7.1178434	14.334423	2	6
69	31.17	1.835	615.0	7.1178434	14.334423	2	6
70	31.17	1.835	615.0	7.1178434	14.334423	2	6
71	9.621444	58.042222	285.0	-0.05	0.434	3	1
72	9.621444	58.042222	285.0	-0.05	0.434	3	1
73	9.621444	58.042222	285.0	-0.05	0.434	3	1
74	9.621444	58.042222	285.0	-0.05	0.434	3	1
75	9.621444	58.042222	285.0	-0.05	0.434	3	1
76	9.621444	58.042222	285.0	-0.043	0.401	3	1
77	9.621444	58.042222	285.0	-0.05	0.434	3	1
78	9.621444	58.042222	285.0	-0.05	0.434	3	1
79	9.621444	58.042222	285.0	-0.05	0.444	3	1
80	9.621444	58.042222	285.0	-0.05	0.444	3	1
81	9.621444	58.042222	285.0	-0.05	0.444	3	1
82	9.621444	58.042222	285.0	-0.05	0.422	3	1
83	9.621444	58.042222	285.0	-0.05	0.434	3	1
84	8.709083	57.840556	420.0	-0.043	1.06	3	1
85	8.709083	57.840556	420.0	-0.05	1.06	3	1
86	8.709083	57.840556	420.0	-0.05	1.06	3	1
87	8.709083	57.840556	420.0	-0.043	1.06	3	1
88	17.43	36.45	3376.0	13.20350877	102.3226695	3	8
89	17.43	36.45	3376.0	2.122257053	110.8167765	3	8
90	11.11	48.01	533.0	-0.01208	15.58837	2	2
91	-77.5	-9.0	6050.0	-0.043	0.056	1	5
92	-77.5	-9.0	6050.0	-0.043	0.056	1	5
93	-77.5	-9.0	6050.0	-0.043	0.056	1	5
94	-77.5	-9.0	6050.0	-0.043	0.056	1	5
95	-70.36	-73.59	1400.0	-0.0555	0.0925	1	5
96	35.5	29.45	19.0	-0.042	0.162	3	4
97	35.5	29.45	19.0	-0.042	0.162	3	4
98	35.5	29.45	19.0	-0.042	0.064	3	4
99	35.5	29.45	19.0	-0.05048	-0.04901	3	4
100	35.5	29.45	19.0	-0.05048	-0.04855	3	4
101	35.5	29.45	19.0	-0.04921	-0.04021	3	4
102	35.5	29.45	19.0	-0.04908	-0.04425	3	4
103	35.5	29.45	29.0	-0.05048	-0.04911	3	4
104	35.5	29.45	42.0	-0.05046	-0.049	3	4
105	35.5	29.45	7.0	-0.05046	-0.0492	3	4
106	34.96667	29.43333	1.0	-0.042	0.162	3	4
107	34.96667	29.43333	1.0	-0.042	0.064	3	4
108	35.35	26.2	1475.0	3.9468	6.2884	3	8
109	47.13667	79.925	388.0	0.0	9.649968362	3	1
110	47.13667	79.925	388.0	0.0	9.875273665	3	1
111	47.13667	79.925	388.0	0.0	9.875273665	3	1
112	47.13667	79.925	388.0	0.0	10.71803979	3	8
113	24.0	79.83	750.0	-0.048	0.55	1	5
114	-21.551	65.9566	94.0	0.1	1.6	3	1
